fJ@@	Ammonia
fb}P`@BBAYIf[eV_tcM^LyNViB`f@B@A@b@	Indigo dye
ffm`p@B@QYqZyEMDidhhjeEF\ZjjfZZfbXeEqQREOh	Domoic acid
fncAh@@XDkQoQsUnRJJIQIRXjK[TdEMUUUUUUUThIDHjKbdkPLS@@	Sucrose
eMFI@bMP@	Sulfur dioxide
fluPP@DTAsUlbbTTTlTvRXHshiZjZfX@`@@	Thalidomide
gCa`@ldsP@	Carbonic acid
facA{@HHpPRk^CENZmzCpMxE|LddqbbbTrdr\fgMUUUUMTuLiFKdeMQr@@	Inositol trisphosphate
gGT@ATeVj`@	Putrescine
gNt@@teUjj@@	Cadaverine
dmLd@DpYAdfUgZzU`BJR@@	Xanthine
fcA@@@YEDeLhedihdXleJ\eiwhyjijfjjjjjjnPWEIVgeEE`@	7-Dehydrocholesterol
gNxhMV@aI[jihd@	Cysteine
gNxhmV@cR~RVzjZI@	Cysteine
eNbXtBWdG@	Sodium cyanide
do^J@DBcm|bbTVdRLZjjjX@@	Pantothenic acid
do^J@DBcm|bbTVdRLZjjjZLP@	Pantothenic acid
do^J@DBcm|bbTVdRLZjjjZL`@	Pantothenic acid
fjuA@@@IJskNsMLRttsSMUU@Hbi\eP	Retinol
e`T^F@@DJNAEKF`JemgolbbTTRLJTRVTrbbJcGBfbVSTC@U@AMTuMAAt`@	Folate
f`qQb@FBt{p@aJYUW]lTEJjjjZZlPVER@@	Biotin
fda@QBHHpP@QGPItYrRPyIIIIHKUUUUP@@	Sodium dodecyl sulfate
dkLN@@PiWSR[kVYjjfX@@	Citric acid
gJY@DDfvd@	Acrylamide
dctF@@IaWTfYn~jjjlaIJP@	Sorbitol
dcLF@@siWTify^ajjjjjDdIUAP@	Galactose
gFXXkEbH`}Ycrl@@	Ammonium perchlorate
gJPXXlQDCUvx}GuP@	Perchloric acid
gNth\ZpEZSMy|eJm_P@	Mercury(II) fulminate
diDB@@[aRVeZjj@@	Pentaerythritol
fbehH@hXDjHDFmxJ\peGBeTvxOQgOYEMEMEEDiSMNZhHaai`@@	Tetryl
fbeDH@hXYpRgQ@`uoASfDhxTjfwAzLy{HihdhhheJYisUUUMMM@@@	HMX
ffma`@D@\gHhddhddiddX[sUTDECUPBGh	Capsaicin
dedD@@QInUVjj`@	Valproate
fji@RBHXuXF`B[]`RfbRPJfbRSUUSUUP@@	Valproate
eDJXtB[`@	Sodium hydroxide
foAP`@BZ@aInvYWejsfjiB@bFH@	Tryptophan
foAP`BBZ@aGDeInvYWejsfjiB@bFH@	Tryptophan
dmUL@NDDYIm[Yjfj@@	Daminozide
dieD@DpFrJIJFnZii@@	Thymine
eFAB@hBL@	Liquid hydrogen
fgA`@@@ISLrotyHvk@@@@@@@@	Acridine
diFD`JxPBDivzjihI@@	Methionine
diFDaJxPBJd^Rg[jjf`d@	Methionine
egRxM@@O`DMHlnk`X]S\bbTTRTbbLtVRTTLRTQbRVJJ`UgcbUTrqvINHkTEAUQUUUTuUUUUQUTxQNHHcHyOHeBeTeimCebaT@@	Aconitine
ek\xM@@O`DMHlnk`XU]\bbTTRTbbLtVRTTLRTQbRSVTBl|\RjfVNqIqEZ`hJjJjjjfjjjjhjjlx`bLcd|bTJeRfRtvfJEP@	Aconitine
dmT@c@V@VnWlBbPLRJiT@@@@@	Ferrocene
gKP@Di\YZ@@	Cyclopentadiene
fns@`@@FrQQRJIFIHkKJdeVCF`jHhjZjbQRR`@	Tetrahydrocannabinol
gNyhGE`DYIITmT@@	Taurine
diDB@@IaRUnvjjSER@	Deoxyribose
dmfBaJcITM@IsdEnufjihJ@@	Monosodium glutamate
fdiq`@DT\@L\bbTRTURf`iMUSUUMXpfRr@@	Pyrrolysine
fdiq`BDT\@LWSGlbbTRTURf`iMUSUUMXpfRr@@	Pyrrolysine
gOilcjqDRHTPY_X@Bht@@	Aqua regia
dk\d@Dq]@\bbbbfJZ]MjjZe`@	Theophylline
gGX`BDdwMUM@@	Alanine
gGX`BDdwMUL`@	Alanine
gGX`BDdwMT@@	Alanine
gGX`bDnLiMsUSP@	Alanine
gGX`bDnLiMsUSH@	Alanine
gGX`bDnLiMsU@@	Alanine
diFB@BANEInvZjX@@	Aspartic acid
diFBABANENJTf{Yji`@	Aspartic acid
diFBCBANENJQyInvZjX@@	Aspartic acid
defB@BAAeInufjihr@@	Glutamic acid
defB@BAAeInufjihq@@	Glutamic acid
defBABAAeNJTf{VZjf@@	Glutamic acid
defBCBAAeNJYyInufji`@	Glutamic acid
dmwD@ByPQInvVUZjejL`@	Histidine
dmwDAByPQNJTf{YYUjjVhr@@	Histidine
dmwDCByPQNJ^eInvVUZjejL`@	Histidine
diFD@BADf{ejjdrT`@	Isoleucine
diFDABADxiR[nVjjSIR@	Isoleucine
deeD@BdDR[mUjjh@@	Lysine
deeDABdDSbeInuVjj`@	Lysine
deeDCBdDSbfYR[mUjjh@@	Lysine
